active,quiet,arrested,tension
0,1110,0,0.18617331116530036
12,1080,18,0.1811416000527247
93,971,46,0.16285971634369964
163,865,82,0.14508100374593225
164,818,128,0.1371979896695637
146,779,185,0.13065676522321532
115,765,230,0.12830863337067996
89,753,268,0.1262959489256497
71,744,295,0.124786435591877
43,748,319,0.12545733040688709
10,766,334,0.12847635707443247
2,775,333,0.1299858704082052
1,788,321,0.13216627855698798
9,790,311,0.13250172596449306
25,783,302,0.13132766003822538
27,774,309,0.12981814670445266
27,770,313,0.1291472518894426
21,774,315,0.12981814670445266
9,784,317,0.1314953837419779
6,792,312,0.13283717337199807
2,797,311,0.1336757918907607
13,792,305,0.13283717337199807
6,794,310,0.13317262077950312
4,799,307,0.13401123929826575
7,808,295,0.13552075263203847
3,818,289,0.1371979896695637
2,829,279,0.13904295041084144
1,853,256,0.14306831930090197
3,869,238,0.14575189856094237
8,873,229,0.14642279337595243
18,876,216,0.14692596448721001
29,858,223,0.1439069378196646
24,861,225,0.14441010893092218
8,866,236,0.14524872744968478
5,880,225,0.1475968593022201
11,888,211,0.1489386489322403
21,871,218,0.1460873459684474
35,846,229,0.14189425337463432
11,866,233,0.14524872744968478
3,882,225,0.14793230670972513
0,898,212,0.1506158859697655
10,903,197,0.15145450448852812
24,880,206,0.1475968593022201
32,857,221,0.14373921411591206
29,846,235,0.14189425337463432
9,854,247,0.1432360430046545
13,847,250,0.14206197707838683
20,838,252,0.14055246374461414
25,824,261,0.1382043318920788
38,801,271,0.1343466867057708
35,796,279,0.13350806818700817
10,812,288,0.13619164744704854
1,830,279,0.13921067411459398
1,848,261,0.14222970078213937
7,846,257,0.14189425337463432
8,850,252,0.14256514818964441
12,845,253,0.14172652967088178
9,849,252,0.14239742448589188
10,852,248,0.14290059559714946
0,865,245,0.14508100374593225
0,879,231,0.1474291355984676
1,891,218,0.14944182004349787
0,904,206,0.15162222819228063
5,905,200,0.15178995189603317
16,893,201,0.1497772674510029
6,899,205,0.15078360967351806
1,909,200,0.15246084671104326
14,907,189,0.15212539930353822
17,901,192,0.1511190570810231
22,892,196,0.14960954374725036
25,870,215,0.14591962226469488
24,861,225,0.14441010893092218
37,842,231,0.14122335855962423
40,827,243,0.1387075030033364
43,800,267,0.1341789630020183
26,802,282,0.1345144104095233
7,822,281,0.13786888448457377
9,821,280,0.13770116078082126
4,836,270,0.1402170163371091
4,844,262,0.14155880596712928
10,845,255,0.14172652967088178
14,846,250,0.14189425337463432
14,846,250,0.14189425337463432
12,848,250,0.14222970078213937
5,857,248,0.14373921411591206
2,868,240,0.14558417485718983
7,868,235,0.14558417485718983
9,864,237,0.14491328004217974
15,862,233,0.14457783263467466
11,859,240,0.14407466152341714
9,872,229,0.1462550696721999
10,869,231,0.14575189856094237
5,872,233,0.1462550696721999
5,874,231,0.14659051707970494
6,878,226,0.14726141189471506
12,878,220,0.14726141189471506
32,853,225,0.14306831930090197
48,824,238,0.1382043318920788
55,801,254,0.1343466867057708
49,790,271,0.13250172596449306
59,759,292,0.12730229114816485
53,751,306,0.12596050151814467
49,750,311,0.12579277781439213
31,758,321,0.12713456744441232
23,766,321,0.12847635707443247
15,769,326,0.12897952818569008
22,762,326,0.12780546225942238
35,750,325,0.12579277781439213
31,743,336,0.12461871188812448
27,741,342,0.12428326448061941
17,750,343,0.12579277781439213
9,759,342,0.12730229114816485
3,776,331,0.1301535941119577
3,787,320,0.13199855485323547
4,797,309,0.1336757918907607
1,809,300,0.13568847633579098
7,818,285,0.1371979896695637
12,818,280,0.1371979896695637
2,843,265,0.14139108226337674
6,859,245,0.14407466152341714
7,863,240,0.1447455563384272
1,877,232,0.14709368819096255
4,886,220,0.14860320152473522
8,887,215,0.14877092522848778
